3.000000000000000000e+00	-2.521414015615596327e+01	8.153378696478488052e+01	6.649801312137418874e-01
3.919354838709677491e+00	-1.560464208994386581e+01	6.348056407133824308e+01	5.494921247199442416e-01
4.838709677419354982e+00	-1.042669623092896813e+01	5.186108157329172741e+01	4.644812620940125814e-01
5.758064516129032029e+00	-7.418492683890150374e+00	4.382015126198346877e+01	4.006819889539270374e-01
6.677419354838709964e+00	-5.536560907018241551e+00	3.797016481653102460e+01	3.519039076877210626e-01
7.596774193548387011e+00	-4.287813013636878168e+00	3.350633385102044315e+01	3.134184465654654139e-01
8.516129032258064058e+00	-3.421679089820457875e+00	2.999454060072595496e+01	2.823940650396916663e-01
9.435483870967741993e+00	-2.797979630329393785e+00	2.715536496086104634e+01	2.569160503683118879e-01
1.035483870967741993e+01	-2.332662372022099362e+00	2.481617809215379822e+01	2.356436170821651632e-01
1.127419354838709609e+01	-1.974298212941050679e+00	2.284046627692777065e+01	2.174828649278438830e-01
1.219354838709677402e+01	-1.691585163296082328e+00	2.117139925281773216e+01	2.020554493997490653e-01
1.311290322580645196e+01	-1.465149683042056949e+00	1.972378659179440774e+01	1.885731537000273628e-01
1.403225806451612812e+01	-1.282022664127225653e+00	1.846378996631006686e+01	1.767761072591340632e-01
1.495161290322580605e+01	-1.132438479829318112e+00	1.735472899915516365e+01	1.663662798594456316e-01
1.587096774193548399e+01	-1.008490565728834554e+00	1.637222257152961191e+01	1.570940208685158990e-01
1.679032258064516014e+01	-9.038929513996549758e-01	1.549652883823860527e+01	1.488179989251916246e-01
1.770967741935483986e+01	-8.140795839569818781e-01	1.471158489934542146e+01	1.413906620950648174e-01
1.862903225806451601e+01	-7.361271321685762814e-01	1.400085436934356764e+01	1.346361489290935909e-01
1.954838709677419217e+01	-6.683450190458302131e-01	1.335483794171386407e+01	1.284899229977745638e-01
2.046774193548387188e+01	-6.096651090305726939e-01	1.276736891223517389e+01	1.228913879759918615e-01
2.138709677419354804e+01	-5.590857468548620091e-01	1.222941823240617865e+01	1.177574376629545588e-01
2.230645161290322420e+01	-5.153781598972670963e-01	1.173781918648106526e+01	1.130727518223443168e-01
2.322580645161290391e+01	-4.771149352496024676e-01	1.128116343666540189e+01	1.087025718682418651e-01
2.414516129032258007e+01	-4.429235064601755312e-01	1.085879482261587903e+01	1.046557243086036759e-01
2.506451612903225623e+01	-4.117787107092567567e-01	1.046646314990364068e+01	1.008968691134893014e-01
2.598387096774193594e+01	-3.831593810434981151e-01	1.010313426892384214e+01	9.741694307220488680e-02
2.690322580645161210e+01	-3.569870041941385352e-01	9.765713515494775621e+00	9.418179722184591429e-02
2.782258064516128826e+01	-3.333866512321890241e-01	9.444545445132982664e+00	9.109617711290823872e-02
2.874193548387096797e+01	-3.124009713469035887e-01	9.146255214877003326e+00	8.822705811554207300e-02
2.966129032258064413e+01	-2.938053013577643924e-01	8.869360256282607935e+00	8.557445002395262790e-02
3.058064516129032029e+01	-2.771117444052322298e-01	8.606843932768493133e+00	8.304883976011345759e-02
3.150000000000000000e+01	-2.617455114279039208e-01	8.359272403960851250e+00	8.066514468733505805e-02
3.241935483870967971e+01	-2.472830611094138931e-01	8.127421160412900747e+00	7.843776416877171198e-02
3.333870967741935232e+01	-2.336081601637260974e-01	7.906398702664501066e+00	7.630297068389529924e-02
3.425806451612903203e+01	-2.208888514727789243e-01	7.698071255528456724e+00	7.430709011209296611e-02
3.517741935483871174e+01	-2.093833939932210342e-01	7.497844563745392321e+00	7.237779334390107011e-02
3.609677419354838435e+01	-1.991893619519373715e-01	7.310314664784467453e+00	7.057158130151015840e-02
3.701612903225806406e+01	-1.900952307265981744e-01	7.131902978213663147e+00	6.885479972592566111e-02
3.793548387096774377e+01	-1.816421356786008801e-01	6.960922075743028792e+00	6.720415564902164351e-02
3.885483870967741638e+01	-1.733752393419365490e-01	6.797956290854745731e+00	6.563381526748747474e-02
3.977419354838709609e+01	-1.651292847835463817e-01	6.643684470642328144e+00	6.414392376521867167e-02
4.069354838709677580e+01	-1.571433788192848624e-01	6.496070569216460200e+00	6.272186620972131088e-02
4.161290322580644840e+01	-1.498883740392216168e-01	6.353244702323544324e+00	6.134424652563042618e-02
4.253225806451612812e+01	-1.436883545176783628e-01	6.218480994705479326e+00	6.004766818605778572e-02
4.345161290322580783e+01	-1.383997280007065456e-01	6.087802961450596406e+00	5.878481863157145049e-02
4.437096774193548043e+01	-1.334330826612415422e-01	5.964498408329394152e+00	5.759542812139555046e-02
4.529032258064516014e+01	-1.281809084717338010e-01	5.844016038593129458e+00	5.643426436603232038e-02
4.620967741935483986e+01	-1.225615360865788261e-01	5.729157507657802739e+00	5.531963355625180156e-02
4.712903225806451246e+01	-1.171774159679443983e-01	5.619277538141853157e+00	5.426177741128593995e-02
4.804838709677419217e+01	-1.127895318318508089e-01	5.512454005707484228e+00	5.323041463468650147e-02
4.896774193548387188e+01	-1.094490627536970351e-01	5.410000461625451784e+00	5.224052870005888027e-02
4.988709677419354449e+01	-1.061969114228134003e-01	5.311799396145345575e+00	5.129194721526229850e-02
5.080645161290322420e+01	-1.019913662391047637e-01	5.215996413984763436e+00	5.036444461689876945e-02
5.172580645161290391e+01	-9.719814135797832932e-02	5.124962423297167113e+00	4.948930695063006452e-02
5.264516129032257652e+01	-9.360628687690564220e-02	5.036735012684390611e+00	4.863798279087517412e-02
5.356451612903225623e+01	-9.190533437961789787e-02	4.950828752573881886e+00	4.780073976493579013e-02
5.448387096774193594e+01	-8.960247596721160335e-02	4.868389092646570937e+00	4.700838089211838849e-02
5.540322580645160855e+01	-8.470718255583165046e-02	4.788133063106087661e+00	4.623307626477416582e-02
5.632258064516128826e+01	-8.161984603412975048e-02	4.711235581799666505e+00	4.549274550375854292e-02
5.724193548387096797e+01	-8.176796502237948516e-02	4.636733023595276393e+00	4.477187455900141777e-02
5.816129032258064058e+01	-7.355894954693553700e-02	4.564160927854528538e+00	4.406959249910590709e-02
5.908064516129032029e+01	-9.914047577183282556e-02	4.493525479762383590e+00	4.338633234199311406e-02
6.000000000000000000e+01	4.262047045947667812e-01	4.425012286875429801e+00	4.272571280609588351e-02
