   3.0000000e+00	  -2.2800375e+01	   1.1791960e+02	   9.1296121e-01	
   4.0000000e+00	  -1.7779386e+01	   9.7891126e+01	   9.9663250e-01	
   5.0000000e+00	  -1.3657190e+01	   8.1622054e+01	   1.0747138e+00	
   6.0000000e+00	  -1.0453062e+01	   6.9589644e+01	   1.1377579e+00	
   7.0000000e+00	  -8.0538787e+00	   6.0485035e+01	   1.1883734e+00	
   8.0000000e+00	  -6.2997822e+00	   5.3420710e+01	   1.2292603e+00	
   9.0000000e+00	  -5.0311132e+00	   4.7799293e+01	   1.2627366e+00	
   1.0000000e+01	  -4.1107375e+00	   4.3240753e+01	   1.2904553e+00	
   1.1000000e+01	  -3.4315601e+00	   3.9472414e+01	   1.3137221e+00	
   1.2000000e+01	  -2.9158427e+00	   3.6310562e+01	   1.3334915e+00	
   1.3000000e+01	  -2.5106076e+00	   3.3619103e+01	   1.3504609e+00	
   1.4000000e+01	  -2.1817590e+00	   3.1296443e+01	   1.3652280e+00	
   1.5000000e+01	  -1.9084098e+00	   2.9271685e+01	   1.3781771e+00	
   1.6000000e+01	  -1.6781383e+00	   2.7497160e+01	   1.3895831e+00	
   1.7000000e+01	  -1.4834226e+00	   2.5925238e+01	   1.3997242e+00	
   1.8000000e+01	  -1.3192155e+00	   2.4523952e+01	   1.4087975e+00	
   1.9000000e+01	  -1.1814796e+00	   2.3265345e+01	   1.4169736e+00	
   2.0000000e+01	  -1.0664472e+00	   2.2128797e+01	   1.4243751e+00	
   2.1000000e+01	  -9.7037184e-01	   2.1101271e+01	   1.4310753e+00	
   2.2000000e+01	  -8.8956814e-01	   2.0161869e+01	   1.4372200e+00	
   2.3000000e+01	  -8.2058344e-01	   1.9304334e+01	   1.4428362e+00	
   2.4000000e+01	  -7.6039131e-01	   1.8516251e+01	   1.4480034e+00	
   2.5000000e+01	  -7.0654053e-01	   1.7790556e+01	   1.4527675e+00	
   2.6000000e+01	  -6.5722826e-01	   1.7120122e+01	   1.4571744e+00	
   2.7000000e+01	  -6.1129236e-01	   1.6496486e+01	   1.4612783e+00	
   2.8000000e+01	  -5.6813443e-01	   1.5917659e+01	   1.4650921e+00	
   2.9000000e+01	  -5.2759519e-01	   1.5378804e+01	   1.4686436e+00	
   3.0000000e+01	  -4.8980617e-01	   1.4875361e+01	   1.4719640e+00	
   3.1000000e+01	  -4.5504057e-01	   1.4402529e+01	   1.4750858e+00	
   3.2000000e+01	  -4.2358183e-01	   1.3959420e+01	   1.4780124e+00	
   3.3000000e+01	  -3.9562235e-01	   1.3543162e+01	   1.4807633e+00	
   3.4000000e+01	  -3.7119877e-01	   1.3151132e+01	   1.4833547e+00	
   3.5000000e+01	  -3.5016481e-01	   1.2782097e+01	   1.4857948e+00	
   3.6000000e+01	  -3.3219756e-01	   1.2430783e+01	   1.4881212e+00	
   3.7000000e+01	  -3.1683050e-01	   1.2099717e+01	   1.4903125e+00	
   3.8000000e+01	  -3.0350422e-01	   1.1786185e+01	   1.4923894e+00	
   3.9000000e+01	  -2.9162557e-01	   1.1487161e+01	   1.4943693e+00	
   4.0000000e+01	  -2.8062662e-01	   1.1203715e+01	   1.4962480e+00	
   4.1000000e+01	  -2.7001608e-01	   1.0934783e+01	   1.4980307e+00	
